Total,Crew,Passenger,Ground,Type,Incident,Aircraft,Location,Phase,Airport,Distance,
107,6,101,0,INB,Avianca Flight 203,Boeing 727-21,"Bogotá, Colombia","ENR
[236]",,,1989-11-27
107,11,96,0,COM,Pan Am Flight 812,Boeing 707-321B,"area of Negara, Bali, Indonesia","APR
[237]",DPS,"68 km
(42 mi)",1974-04-22
107,8,99,0,COM,Aeroflot Flight 2230,Ilyushin Il-18V,"Aramil, Russian SFSR, USSR","ICL
[238]",SVX,"2.9 km
(1.8 mi)",1967-11-16
107,11,96,0,COM,Flying Tiger Line Flight 739,Lockheed L-1049H Super Constellation,Pacific Ocean,"ENR
[239]",,,1962-03-16
106,10,84,12,MIL,Iranian Air Force (5-8519),Lockheed C-130E Hercules,"Tehran, Iran","APR
[240]",THR,"c. 5.5 km
(3.4 mi)",2005-12-06
106,7,99,0,COM,Royal Air Maroc Caravelle (OO-SRD),Sud Aviation SE-210 Caravelle VIN,"Mt. Mellalyene, Tétouan, Morocco","ENR
[241]",,,1973-12-22
105,8,97,0,COM,Kam Air Flight 904,Boeing 737-242,"Chaperi Ghar Mtn., Pamir Mts., Afghanistan","ENR
[242]",,,2005-02-03
104,5,99,0,COM,Cebu Pacific Air Flight 387,McDonnell Douglas DC-9-32,"Mount Sumagaya, Philippines","ENR
[243]",,,1998-02-02
104,7,97,0,COM,SilkAir Flight 185,Boeing 737-36N,"Musi River, Indonesia","ENR
[244][245]",,,1997-12-19
104,6,98,0,COM,Iberia Airlines Flight 602,Sud Aviation SE 210 Caravelle,"Ibiza, Spain","APR
[246]",IBZ,"c. 15 km
(9.3 mi)",1972-01-07
104,6,11,87,COM,"Middle East Airlines Flight 265 and
Turkish Air Force (CBK-28)",Vickers Viscount 754D and Douglas C-47,"Ankara, Turkey","APR/ENR
[247]",ESB,"c. 20 km
(12.4 mi)",1963-02-01
103,11,92,0,COM,Afriqiyah Airways Flight 771,Airbus A330-202,"Tripoli, Libya","APR
[248]",TIP,"c. 0.9 km
(0.56 mi)",2010-05-12
103,7,66,30,COM,EAS Airlines Flight 4226,BAC One-Eleven 500,"Kano, Nigeria","ENR
[249]",,,2002-05-04
103,7,96,0,MIL,Iranian Air Force,Lockheed C-130 Hercules,"near Zahedan, Iran","APR
[250]",,,1986-11-02
102,6,96,0,COM,Adam Air Flight 574,Boeing 737-4Q8,"Makassar Strait, Indonesia","ENR
[251][252]",,,2007-01-01
102,6,96,0,COM,Air Algérie Flight 6289,Boeing 737-2T4,"Tamanrasset, Algeria","ICL
[253]",TMR,"1.6 km
(1 mi)",2003-03-06
102,5,97,0,COM,Dominicana de Aviación (HI-177),McDonnell Douglas DC-9-32,"Caribbean, off Santo Domingo, Dominican Republic","ICL
[254]",SDQ,"3 km
(1.9 mi)",1970-02-15
101,11,90,0,COM,Thai Airways Flight 261,Airbus A310-300,"Surat Thani, Thailand","APR
[255]",URT,"c. 4 km
(2.5 mi)",1998-12-11
101,5,96,0,COM,Eastern Air Lines Flight 401,Lockheed L-1011-385-1 TriStar 1,"Everglades, near Tamiami, Florida, US","APR
[256][257]",MIA,"33.6 km
(20.9 mi)",1972-12-29
102,9,93,0,COM,Aeroflot Flight 558,Ilyushin Il-18V,"near Spassky, Verkhneuralsky District, Russian SFSR, USSR","ENR
[258]",,,1972-08-31
101,7,92,2,COM,LANSA Flight 502,Lockheed L-188 Electra,"Cusco, Peru","ICL
[259]",CUZ,"c. 4 km
(2.5 mi)",1970-08-09
101,6,95,0,COM,Northwest Airlines Flight 293,Douglas DC-7CF,"Pacific Ocean, area of Annette Island, Alaska, US","ENR
[260][261]",,,1963-06-03
100,7,93,0,INH,Malaysian Airline System Flight 653,Boeing 737-2H6,"near Tanjung Kupang, Malaysia","ENR
[262]",,,1977-12-04
100,7,93,0,COM,United Arab Airlines (SU-APC),Ilyushin Il-18D,"Aswan, Egypt","LDG
[263]",ASW,,1969-03-20
99,[nb 17],[nb 18],2,MIL,Indonesian Air Force (A-1325),Lockheed C-130H Hercules,"near Madiun, Indonesia","APR
[264]",MDN,"9 km
(5.6 mi)",2009-05-20
99,6,90,3,COM,TAM Airlines Flight 402,Fokker 100,"São Paulo, Brazil","ICL
[265][266]",CGH,"1.5 km
(0.9 mi)",1996-10-31
99,4,95,0,COM,Aeroflot Flight 3603,Tupolev Tu-154B-2,"near Norilsk, Russian SFSR, USSR","APR
[267]",NSK,"0.47 km
(0.3 mi)",1981-11-16
99,8,91,0,COM,KLM Flight 607E,Lockheed L-1049,"Atlantic Ocean, area of Shannon, Ireland","ENR
[268]",,,1958-08-14
98,8,89,1,COM,Pakistan International Airlines Flight 8303,Airbus A320-214,"Karachi, Pakistan","APR
[269]",KHI,"3.0 km
(1.9 mi)",2020-05-22
98,8,90,0,COM,Khabarovsk United Air Group Flight 3949,Tupolev Tu-154B,"area of Grossevichi, Khabarovsk Krai, Russia","ENR
[270]",,,1995-12-06
98,6,92,0,MIL,Royal Saudi Air Force (469),Lockheed C-130H Hercules,"near Khafji, Saudi Arabia","APR
[271]",OERM,unknown,1991-03-21
98,6,92,0,MIL,Indian Air Force Flight 203,Antonov An-12BP,"Rohtang Pass, India","ENR
[272]",,,1968-02-07
98,6,92,0,COM,Britannia Airways Flight 105,Bristol 175 Britannia 102,"Komenda, SR Slovenia, Yugoslavia","APR
[273]",LJU,"3 km
(1.9 mi)",1966-09-01
97,10,87,0,COM,Pan Am Flight 806,Boeing 707-321B,"Pago Pago, American Samoa","APR
[274]",PPG,"1.2 km
(0.75 mi)",1974-01-30
97,4,93,0,COM,Aeroflot Flight 1912,Tupolev Tu-104B,"Irkutsk, Russian SFSR, USSR","APR
[275]",IKT,"0.15 km
(0.09 mi)",1971-07-25
97,17,80,0,COM,Varig Flight 810,Boeing 707-441,"La Cruz peak, San Juan de Miraflores, Peru","APR
[276]",LIM,"c. 25 km
(16 mi)",1962-11-27
96,8,88,0,MIL,Polish Air Force (101),Tupolev Tu-154M,"Smolensk, Russia","APR
[277][278]",***,"c. 1 km
(0.6 mi)",2010-04-10
96,4,92,0,COM,ADC Airlines Flight 53,Boeing 737-2B7,"Abuja, Nigeria","ICL
[279]",ABV,"c. 0.5 km
(0.3 mi)",2006-10-29
96,6,90,0,COM,Aeroflot Flight 3843,Tupolev Tu-104A,"Almaty, Kazakh SSR, USSR","APR
[280]",ALA,"3.5 km
(2.2 mi)",1977-01-13
95,6,89,0,COM,Indian Airlines Flight 171,Sud Aviation SE-210 Caravelle VIN,"Mumbai, India","APR
[281]",BOM,"0.35 km
(0.2 mi)",1976-10-12
95,6,89,0,EXG,Air France Flight 1611,Sud Aviation SE-210 Caravelle III,"Mediterranean, near Nice, France","ENR
[282]",,,1968-09-11
95,8,87,0,COM,American Airlines Flight 1,Boeing 707-123B,"Jamaica Bay, New York, US","ICL
[283][284]",IDL,"c. 6 km
(3.7 mi)",1962-03-01
94,7,87,0,COM,TAME Flight 120,Boeing 727-134,"Cumbal Volcano, Colombia","APR
[285]",TUA,"c. 21 km
(13 mi)",2002-01-28
94,12,82,0,COM,"Aeroflot Flight 8381 and
Soviet Air Force (SSSR-26492)",Tupolev Tu-134 and Antonov An-26,"Zolochiv, Ukrainian SSR, USSR","APR/ENR
[286][287]",LWO,"68 km
(42 mi)",1985-05-03
94,9,85,0,COM,Alitalia Flight 771,McDonnell Douglas DC-8-43,"Junnar, India","ENR
[288]",,,1962-07-07
93,6,87,0,COM,Aerovias Guatemala Caravelle (HC-BAE),Sud Aviation SE-210 Caravelle III,"Flores, Guatemala","APR
[289][290]",FRS,"8 km
(5 mi)",1986-01-18
93,6,87,0,COM,"Iberia Flight 350 and
Aviaco Flight 134",Boeing 727 and McDonnell Douglas DC-9,"Madrid, Spain","TOF/TXI
[291][292]",MAD,,1983-12-07
92,8,84,0,MIL,Russian Air Force (RA-85572),Tupolev Tu-154,"Black Sea, off Adler, Russia","ENR
[293]",,,2016-12-25
92,4,88,0,COM,Indian Airlines Flight 605,Airbus A320-231,"Bangalore, India","APR
[294]",VOBG,"0.7 km
(0.43 mi)",1990-02-14
92,7,85,0,COM,TWA Flight 514,Boeing 727-231,"Mt. Weather, Virginia, US","APR
[295]",DCA,"40 km
(25 mi)",1974-12-01
92,7,85,0,COM,Aeroflot Flight U-45,Ilyushin Il-18V,"Bulungur District, Uzbek SSR, USSR","ENR
[296]",,,1970-02-06
91,5,86,0,MIL,Sudanese Air Force,Lockheed C-130H Hercules,"Jabal Awliya, Sudan","ENR
[297]",,,1996-02-26
91,3,0,88,COM,Lloyd Aéreo Boliviano (N730JP),Boeing 707-131F,"Santa Cruz, Bolivia","ICL
[298]",SRZ,"0.6 km
(0.4 mi)",1976-10-13
91,6,85,0,COM,LANSA Flight 508,Lockheed L-188 Electra,"Puerto Inca, Peru","ENR
[299]",,,1971-12-24
90,8,82,0,COM,Ethiopian Airlines Flight 409,Boeing 737-8AS,"Mediterranean, off Na'ameh, Lebanon","ICL
[300]",BEY,"11 km
(6.8 mi)",2010-01-25
90,5,85,0,COM,One-Two-GO Airlines Flight 269,McDonnell Douglas MD-82,"Phuket, Thailand","LDG
[301]",HKT,,2007-09-16
90,7,83,0,COM,Aeroflot Flight 5463,Tupolev Tu-134A,"near Almaty, Kazakh SSR, USSR","APR
[302]",ALA,"36 km
(22.4 mi)",1983-08-30
90,8,82,0,COM,Aeroflot Flight 411,Ilyushin Il-62M,"Mendeleyevo, Russian SFSR, USSR","ICL
[303]",SVO,"11.4 km
(7.1 mi)",1982-07-06
90,5,85,0,COM,Olympic Airways Flight 954,Douglas DC-6,"Keratea, Greece","APR
[304]",***,"c. 23 km
(14 mi)",1969-12-08
89,8,81,0,MIL,Royal Saudi Air Force (453),Lockheed C-130E Hercules,"Medina, Saudi Arabia","ICL
[305]",MED,"c. 1 km
(0.6 mi)",1980-09-14
89,6,83,0,COM,Delta Air Lines Flight 723,McDonnell Douglas DC-9-31,"Boston, Massachusetts, US","APR
[306][307]",BOS,"1 km
(0.6 mi)",1973-07-31
88,6,82,0,COM,Aeroflot-Nord Flight 821,Boeing 737-505,"Perm, Russia","APR
[308]",PEE,"11.5 km
(7.1 mi)",2008-09-14
88,5,83,0,COM,Alaska Airlines Flight 261,McDonnell Douglas MD-83,"Pacific Ocean, off Anacapa Island, California, US","ENR
[309][310]",,,2000-01-31
88,8,80,0,MIL,Iranian Air Force,Lockheed C-130 Hercules,"near Mashad, Iran","ENR
[311][312]",,,1997-03-13
88,9,79,0,INB,Trans World Airlines Flight 841 (1974),Boeing 707-331B,"Mediterranean, area of Cephalonia, Greece","ENR
[313]",,,1974-09-08
88,5,83,0,COM,Air Ferry DC-4 G-APYK,Douglas C-54 Skymaster,"Mont Canigou, France","ENR
[314]",,,1967-06-03
87,5,82,0,COM,Air Inter Flight 148,Airbus A320-111,"Barr, France","APR
[315]",SXB,"19.5 km
(12.1 mi)",1992-01-20
87,10,77,0,COM,LOT Polish Airlines Flight 007,Ilyushin Il-62,"Warsaw, Poland","APR
[316]",WAW,"0.86 km
(0.52 mi)",1980-03-14
87,11,76,0,COM,Nigeria Airways Flight 825,Vickers VC10,"Lagos, Nigeria","APR
[317]",LOS,"13 km
(8.1 mi)",1969-11-20
87,7,80,0,COM,LAN Chile Flight 107,Douglas DC-6,"San José Volcano, Chile","ENR
[318]",,,1965-02-06
87,9,78,0,COM,Aeroflot Flight 721,Ilyushin Il-18V,"near Yuzhno Sakhalinsk, Russian SFSR, USSR","APR
[319]",UUS,"26 km
(16.3 mi)",1964-09-02
87,5,82,0,MIL,US Air Force (50-0100),Douglas C-124A Globemaster II,"Moses Lake, Washington, US","ICL
[320]",LRN,"4 km
(2.5 mi)",1952-12-20
86,6,79,1,COM,Aviaco Flight 118,Sud Aviation SE 210 Caravelle 10R,"A Coruña, Spain","APR
[321]",LCG,"11 km
(6.8 mi)",1973-08-13
86,10,72,4,COM,Japan Airlines Flight 471,Douglas DC-8-53,"near New Delhi, India","APR
[322]",DEL,"c. 20 km
(12 mi)",1972-06-14
86,7,79,0,COM,Aeroflot Flight 3,Tupolev Tu-104A,"near Yelabuga, Tatar ASSR, Russian SFSR, USSR","ENR
[323]",,,1962-09-03
85,6,79,0,COM,Tajikistan Airlines Flight 3183,Tupolev Tu-154B-1,"Sharjah, United Arab Emirates","APR
[324]",SHJ,"13 km
(8.1 mi)",1997-12-15
85,5,80,0,COM,Braniff Flight 352,Lockheed L-188A Electra,"Dawson, Texas, US","ENR
[325][326]",,,1968-05-03
85,4,81,0,MIL,US Air Force (56-4376),Fairchild C-123B-18-FA Provider,"near Tuy Hòa, Vietnam","ENR
[327]",,,1965-12-11
85,4,81,0,COM,Paradise Airlines Flight 901A,Lockheed L-049 Constellation,"Genoa, Nevada, US","ENR
[328]",,,1964-03-01
84,7,77,0,COM,Aeroflot Flight 2808,Tupolev Tu-134A,"Andreevo, Ivanovo Oblast, Russia","APR
[329]",IWA,"3 km
(1.9 mi)",1992-08-27
84,0,84,0,MIL,Fuerza Aérea Sandinista (265),Mil Mi-8TV,"near San Andres de Bocay, Nicaragua","UNK
[330][331]",,,1982-12-09
84,12,72,0,MIL,US Air Force (60-0373),Boeing C-135 Stratolifter,"Santiago Canyon, California, US","ENR
[332]",,,1965-06-25
84,5,79,0,COM,Eastern Air Lines Flight 663,Douglas DC-7B,"Atlantic Ocean, off Jones Beach, New York, US","ENR
[333][334]",,,1965-02-08
84,8,76,0,EXG,Aeroflot Flight 902,Tupolev Tu-104A,"near Voznesenka, Krasnoyarsk Krai, Russian SFSR, USSR","ENR
[335]",,,1962-06-30
83,4,79,0,COM,Singapore Airlines Flight 006,Boeing 747-412,"Dayuan District, Taiwan","TOF
[336]",TPE,,2000-10-31
83,11,72,0,MIL,Russian Air Force (RA-74295),Ilyushin Il-18D,"Zundagi, Adjara, Georgia","APR
[337]",BUS,"18 km
(11.3 mi)",2000-10-25
83,4,79,0,COM,Palair Macedonian Airlines Flight 301,Fokker 100,"Petrovec, Republic of Macedonia","ICL
[338]",SKP,"0.38 km
(0.24 mi)",1993-03-05
83,5,78,0,MIL,Afghanistan Air Force,Antonov An-12,"near Shindand, Afghanistan","ICL
[339]",OAH,,1990-08-10
83,9,74,0,COM,Thai Airways Flight 365,Boeing 737-2P5,"Phuket, Thailand","APR
[340]",HKT,"15 km
(9.3 mi)",1987-08-31
83,5,78,0,COM,"Allegheny Airlines Flight 853 and
Private aircraft (N7374J)",McDonnell Douglas DC-9-30 and Piper PA-28 Cherokee,"Fairland, Indiana, US","ENR
[341][342]",,,1969-09-09
83,9,74,0,COM,Aeroflot Flight 15,Ilyushin Il-18D,"Parchum, Chunsky District, Russian SFSR, USSR","ENR
[343]",,,1968-02-29
83,5,78,0,COM,American Flyers Flight 280,Lockheed L-188 Electra,"Ardmore, Oklahoma, US","APR
[344]",ADM,"2.4 km
(1.5 mi)",1966-04-22
83,8,75,0,COM,British Eagle International Airlines Flight 802,Bristol 175 Britannia 312,"Glungezer mountain, Austria","ENR
[345]",,,1964-02-29
83,6,77,0,COM,President Airlines (N90773),Douglas DC-6B,"Shannon, Ireland","ICL
[346]",SNN,"1.5 km
(0.9 mi)",1961-09-10
82,5,77,0,COM,Tajikistan Airlines (87995),Yakovlev Yak-40,"Khorog, Tajikistan","TOF
[347]",UTOD,"0.2 km
(0.12 mi)",1993-08-28
82,7,60,15,COM,Aeroméxico Flight 498 and Private aircraft (N4891F),McDonnell Douglas DC-9-32 and Piper PA-28-181 Archer,"Cerritos, California, US","APR
[348][349]",LAX,"c. 33 km
(21 mi)",1986-08-31
82,8,74,0,INH,Aeroflot Flight 109,Tupolev Tu-104B,"Area of Chita, Russian SFSR, USSR","ENR
[350]",,,1973-05-19
82,6,76,0,COM,"Piedmont Airlines Flight 22 and
Private aircraft (N31215S)",Boeing 727-22 and Cessna 310,"Hendersonville, North Carolina, US","ENR
[351]",,,1967-07-19
82,8,74,0,COM,TABSO Flight 101,Ilyushin Il-18B,"Bratislava, Czechoslovakia","ENR
[352]",,,1966-11-24
81,4,77,0,EXS,Itavia Flight 870,McDonnell Douglas DC-9-15,"Tyrrhenian Sea, near Ustica, Italy","ENR
[353][354]
[nb 19]",,,1980-06-27
81,15,66,0,INB,Middle East Airlines Flight 438,Boeing 720-023B,"As Sufayri, Hafar Al-Batin, Saudi Arabia","ENR
[356]",,,1976-01-01
81,10,71,0,INB,Cathay Pacific Airways Flight 700Z,Convair 880-22M-21,"area of Pleiku, Vietnam","ENR
[357]",,,1972-06-15
81,8,73,0,COM,Pan Am Flight 214,Boeing 707-121,"Elkton, Maryland, US","APR
[358][359]",PHL,"55 km
(34 mi)",1963-12-08
81,7,74,0,COM,Aeroflot Flight 415,Antonov An-10A,"Kholodnaia Rechka, Gagra District, Abkhaz ASSR, Georgian SSR, USSR","APR
[360]",AER,"21 km
(13.1 mi)",1962-07-28
80,9,71,0,MIL,Moroccan Air Force (CAN-OQ),Lockheed C-130 Hercules,"Goulimime, Morocco","APR
[361]",GLN,"10 km
(6.2 mi)",2011-07-26
80,14,56,10,COM,Cubana de Aviación Flight 389,Tupolev Tu-154M,"Quito, Ecuador","TOF
[362]",UIO,,1998-08-29
80,4,76,0,COM,Air Mauritanie Flight 625,Fokker F28 Fellowship 4000,"Tidjikja, Mauritania","LDG
[363]",TIY,,1994-07-01
80,4,76,0,COM,Fuerza Aérea Colombiana (FAC-902),Douglas DC-6B,"near Leticia, Colombia","ENR
[364]",,,1985-07-24
80,[nb 20],[nb 21],20,MIL,Iranian Air Force (5-8552),Lockheed C-130H Hercules,"Kahrizak, Iran","ENR
[365]",,,1981-09-29
80,7,73,0,COM,Union de Transportes Aériens (F-BHMS),Douglas DC-6B,"Mt. Alcazaba, Spain","ENR
[366]",,,1964-10-02
80,5,74,1,MIL,US Air Force (61-0332),Boeing C-135B,"Angeles City, Philippines","APR
[367]",CRK,"<0.1 km
(0.06 mi)",1964-05-11
80,6,74,0,COM,Swissair Flight 306,Sud Aviation SE-210 Caravelle III,"Dürrenäsch, Switzerland","ENR
[368]",,,1963-09-04
80,7,73,0,COM,World Airways Flight 830,Douglas DC-6A,"Mt. Barrigada, near Barrigada, Guam, US","ENR
[369]",,,1960-09-19
80,9,71,0,COM,Aeroflot (CCCP-42362),Tupolev Tu-104A,"Vurnarsky District, Chuvash ASSR, Russian SFSR, USSR","ENR
[370]",,,1958-10-17
80,5,75,0,COM,Fairflight (G-AKBY),Avro 689 Tudor V,"Sigingstone, Wales, UK","APR
[371]",***,"0.76 km
(0.47 mi)",1950-03-12
79,3,72,4,COM,Korean Air Flight 803,McDonnell Douglas DC-10-30,"Tripoli, Libya","APR
[85][372]",TIP,"c. 2 km
(1.2 mi)",1989-07-27
79,7,72,0,COM,Aeroflot Flight 630,Ilyushin Il-18V,"near Khujand, Tajik SSR, USSR","ENR
[373]",,,1973-02-24
79,6,73,0,MIL,US Air Force (55-4574),Fairchild C-123K,"Khánh Phu, Khánh Hòa Province, Vietnam","ENR
[374]",,,1970-11-27
79,7,72,0,COM,Mexicana Flight 704,Boeing 727-64,"El Carmen, Mexico","ENR
[375]",,,1969-06-04
79,6,73,0,COM,Maritime Central Airways Flight 315,Douglas DC-4,"Issoudun, Quebec, Canada","ENR
[376]",,,1957-08-11
78,12,66,0,EXG,Siberia Airlines Flight 1812,Tupolev Tu-154M,"Black Sea, area of Ünye, Turkey","ENR
[377]",,,2001-10-04
78,4,70,4,COM,Air Florida Flight 90,Boeing 737-222,"Washington, D.C., US","ICL
[378][379]",DCA,"1.4 km
(0.9 mi)",1982-01-13
78,7,70,1,MIL,Indian Air Force,Antonov An-12,"Leh, India","APR
[380]",IXL,"0.5 km
(0.3 mi)",1978-11-19
78,3,75,0,COM,Wenela Air Services (A2-ZER),Douglas DC-4,"Francistown, Botswana","APR
[381]",FRW,"3.6 km
(2.2 mi)",1974-04-04
78,10,68,0,COM,Pan Am Flight 816,Boeing 707-321B,"Pacific Ocean, off Papeete, Tahiti, French Polynesia","ENR
[382][383]",,,1973-07-22
78,3,75,0,COM,Aviogenex Flight 130,Tupolev Tu-134A,"Omišalj, SR Croatia, Yugoslavia","LDG
[384]",RJK,,1971-05-23
78,5,73,0,COM,TWA Flight 529,Lockheed L-049 Constellation,"Hinsdale, Illinois, US","ENR
[385][386]",,,1961-09-01
78,9,69,0,INB,Air France Flight 406,Lockheed L-1649A Starliner,"near Zarzaitine, Algeria","ENR
[387]",,,1961-05-10
77,4,72,0,MIL,Algerian Air Force C-130,Lockheed C-130 Hercules,"Aïn Kercha, Oum El Bouaghi Province, Algeria","ENR
[388]",,,2014-02-11
77,8,69,0,COM,Iran Air Flight 277,Boeing 727-286Adv,"Urmia, Iran","APR
[389]",OMH,"8 km
(5 mi)",2011-01-09
77,0,0,77,MIL,Sknyliv air show disaster,Sukhoi Su-27,"Lviv, Ukraine","MNV
[390]",LWO,,2002-07-27
77,9,68,0,MIL,Soviet Air Force (CCCP-86732),Ilyushin IL-76M,"Gyumri, Armenia","APR
[391]",LWN,"15 km
(9.4 mi)",1988-12-11
77,1,76,0,COM,Aeroflot Flight 5003,Ilyushin Il-18V,"near Mineralnye Vody, Russian SFSR, USSR","APR
[392]",MRV,"<5 km
(3 mi)",1977-02-15
77,3,74,0,COM,Imperial Airlines Flight 201/8,Lockheed L-049 Constellation,"Richmond, Virginia, US","APR
[393][394]",RIC,"1.5 km
(0.9 mi)",1961-11-08
77,6,71,0,COM,Air France Flight 2005,Sud Aviation SE-210 Caravelle III,"Rabat, Morocco","APR
[395]",RBA,"9 km
(5.6 mi)",1961-09-12
76,5,71,0,MIL,Afghanistan Air Force,Antonov An-32,"Tashkurgan, Afghanistan","ENR
[396][397]",,,1993-04-27
76,6,70,0,COM,ČSA Flight 001,Ilyushin Il-18B,"Bratislava, Czechoslovakia","APR
[398]",BTS,"1.5 km
(0.93 mi)",1976-07-28
76,5,69,2,MIL,"Air Vietnam C-54D (XV-NUG)
and US Air Force",Douglas C-54D-10-DC Skymaster and F-4 Phantom II,"Da Nang, Vietnam","APR
[399]",DAD,"3 km
(1.9 mi)",1969-09-20
75,13,62,0,COM,UM Airlines Flight 4230,Yakovlev Yak-42,"Maçka, Trabzon, Turkey","APR
[400]",TZX,"c. 23 km
(14 mi)",2003-05-26
75,5,70,0,COM,Turkish Airlines Flight 634,Avro RJ100,"Diyarbakır, Turkey","APR
[401]",DIY,"0.9 km
(0.56 mi)",2003-01-08
75,6,69,0,COM,Peruvian Air Force (FAP-351),Boeing 737-282,"Andoas, Peru","ENR
[402]",,,1998-05-05
75,5,70,0,MIL,Sri Lanka Air Force (CR861),Antonov An-32B,"Laccadive Sea, off Colombo, Sri Lanka","ENR
[403]",,,1995-09-12
75,12,63,0,COM,Aeroflot Flight 593,Airbus A310-304,"near Mezhdurechensk, Russia","ENR
[404]",,,1994-03-23
76,3,73,0,COM,Vietnam Airlines Flight 831,Tupolev Tu-134,"Lam Luk Ka District, Thailand","APR
[405]",DMK,"6 km
(3.7 mi)",1988-09-09
75,4,71,0,COM,Inex-Adria Aviopromet Flight 450,McDonnell Douglas DC-9-32,"Prague, Czechoslovakia","APR
[406]",PRG,"8 km
(5 mi)",1975-10-30
75,6,69,0,COM,Avensa Flight 358,McDonnell Douglas DC-9-14,"near Maturín, Venezuela","ENR
[407]",,,1974-12-22
75,8,67,0,INH,Air Vietnam Flight 706 hijacking,Boeing 727-121C,"near Phan Rang, Vietnam","ICL
[408]",DAD,,1974-09-15
75,4,71,0,COM,Southern Airways Flight 932,McDonnell Douglas DC-9-31,"Ceredo, West Virginia, US","APR
[409][410]",HTS,"1.6 km
(1 mi)",1970-11-14
74,4,70,0,COM,Hewa Bora Airways Flight 952,Boeing 727-022,"Kisangani, DR Congo","LDG
[411]",FKI,"<0.1 km
(0.06 mi)",2011-07-08
74,5,69,0,COM,Austral Líneas Aéreas Flight 2553,McDonnell Douglas DC-9-32,"Nuevo Berlín, near Fray Bentos, Uruguay","ENR
[412]",,,1997-10-10
74,5,69,0,COM,Lloyd Aéreo Boliviano (CP-698),Douglas DC-6B,"Mt. Choquetanga, Cordillera Kimsa Cruz, Bolivia","ENR
[413]",,,1969-09-26
74,10,64,0,COM,Linea Aeropostal Venezolana Flight 253,Lockheed L-1049 Super Constellation,"New York Bight, Atlantic Ocean, area of Jones Beach, New York, US","ENR
[414]",,,1956-06-20
73,6,67,0,MIL,Israeli Air Force (357) and Israeli Air Force (903),Sikorsky S-65C-3 Yas'ur 2000 (both),"She'ar Yashuv, Israel","ENR
[415][416][417]",,,1997-02-04
73,8,65,0,COM,Avianca Flight 52,Boeing 707-321B,"Cove Neck, New York, US","APR
[418][419]",JFK,"c. 36 km
(22 mi)",1990-01-25
73,[nb 22],[nb 23],0,MIL,Ethiopian Air Force,Antonov An-26,"near Addis Ababa, Ethiopia","UNK
[420]",,,1982-01-14
73,9,63,1,COM,Western Airlines Flight 2605,McDonnell Douglas DC-10-10,"Mexico City, Mexico","LDG
[421]",MEX,"1.5 km
(0.9 mi)",1979-10-31
73,7,66,0,COM,Balkan Bulgarian (LZ-TUB),Tupolev Tu-134,"Gabare, Vratsa Province, Bulgaria","ENR
[422]",,,1978-03-16
73,25,48,0,INB,Cubana de Aviación Flight 455,Douglas DC-8-43,"Atlantic Ocean, off Christ Church Parish, Barbados","ENR
[423]",,,1976-10-06
73,11,61,1,COM,Sabena Flight 548,Boeing 707-320,"Brussels, Belgium","APR
[424]",BRU,"3 km
(1.9 mi)",1961-02-15
73,[nb 24],[nb 25],0,MIL,USS Akron,Akron-class rigid airship,"Atlantic Ocean, off Barnegat Light, New Jersey, US",[5][425],,,1933-04-04
72,8,15,49,MIL,Russian Air Force (RA-82005),Antonov An-124-100,"Irkutsk, Russia","ICL
[426]",IKT,"1.6 km
(1 mi)",1997-12-06
72,9,63,0,COM,Aeroflot Flight 892,Tupolev Tu-134A,"Bohnsdorf, East Germany","APR
[427]",SXF,"3.5 km
(2.2 mi)",1986-12-12
72,2,61,9,COM,Southern Airways Flight 242,McDonnell Douglas DC-9-31,"New Hope, Georgia, US","ENR
[428][429]",,,1977-04-04
72,5,67,0,COM,Aeroflot Flight 2415,Tupolev Tu-104B,"Dmitrovsky District, Moscow Oblast, Russian SFSR, USSR","ENR
[430]",,,1976-11-28
72,2,70,0,COM,Eastern Air Lines Flight 212,McDonnell Douglas DC-9-31,"Charlotte, North Carolina, US","APR
[431][432]",CLT,"5.3 km
(3.3 mi)",1974-09-11
72,6,66,0,COM,Faucett (OB-R-148),Douglas C-54A-5-DC Skymaster,"Cordillera Blanca, Peru","ENR
[433]",,,1967-12-08
72,3,69,0,COM,British Midland Airways Flight (G-ALHG),Canadair C-4 Argonaut,"Stockport, England, UK","APR
[434]",MAN,"c. 9 km
(5.6 mi)",1967-06-04
72,8,64,0,COM,ČSA Flight 511,Ilyushin Il-18V,"Bouskoura, Morocco","ENR
[435]",,,1961-07-12
71,6,65,0,COM,Saratov Airlines Flight 703,Antonov An-148,"near Stepanovskoye, Moscow Oblast, Russia","ICL
[436]",OSW,,2018-02-11
71,7,64,0,COM,LaMia Airlines Flight 2933,Avro RJ85,"Medellin, Colombia","ENR
[437]",,,2016-11-28
71,11,60,0,COM,Bashkirian Airlines Flight 2937 and DHL Flight 611,Tupolev Tu-154M and Boeing 757-23APF,"Überlingen, Germany","ENR
[438][439]",,,2002-07-01
71,3,68,0,COM,Cameroon Airlines Flight 3701,Boeing 737-200,"Douala, Cameroon","APR
[440]",DLA,"6 km
(3.7 mi)",1995-12-03
71,9,43,19,COM,EgyptAir Flight 864,Boeing 707-366C,"Bangkok, Thailand","APR
[441]",DMK,"2 km
(1.2 mi)",1976-12-25
